Sentence,Dominant vs. Subordinate,Target Word,Context Strength,Related Word 1,Related Word 2,Related Word 3,Related Word 4,Related Word 5
The student made an error. He forgot the date on the final exam.,Dominant,date,Weak,day,time,appointment,schedule,occasion
The boyfriend was thoughtless. He forgot the date at the birthday party.,Subordinate,date,Weak,companion,partner,outing,meeting,rendezvous
The president anticipated the conflict. He approved the draft in preparation for war.,Dominant,draft,Weak,conscription,recruitment,enlistment,induction,selection
The supervisor was pleased. He approved the draft of the work schedule.,Subordinate,draft,Weak,version,plan,outline,document,blueprint
The businesswoman checked the schedule. She awaited the express that was running late.,Dominant,express,Weak,train,fast service,direct service,quick route,speedy delivery
The subscriber went to the main office. She awaited the express to receive the parcel.,Subordinate,express,Weak,delivery,package,parcel,shipment,mail
The tenant heard the rattle. He hit the fan with a baseball bat.,Dominant,fan,Weak,ventilator,blower,cooler,air circulator,rotor
The actor became angry. He hit the fan outside the small theater.,Subordinate,fan,Weak,supporter,enthusiast,follower,devotee,admirer
The customer made a selection. He liked gin after a hard day.,Dominant,gin,Weak,alcohol,liquor,spirit,beverage,drink
The patient selected an activity. He liked gin to pass the time.,Subordinate,gin,Weak,card game,pastime,rummy,solitaire,game
The milkman was dedicated. He ignored the hail while making his rounds.,Dominant,hail,Weak,precipitation,sleet,ice pellets,frozen rain,snow
The cab driver was in a hurry. He ignored the hail of the many pedestrians.,Subordinate,hail,Weak,call,shout,signal,wave,summon
The mother was in a hurry. She jammed the key while opening the door.,Dominant,key,Weak,lock opener,passkey,door key,entry key,house key
The author was clumsy. She jammed the key while finishing the document.,Subordinate,key,Weak,typewriter key,keyboard key,button,character,digit
The craftsman chose the spot. He chipped the marble with skill and precision.,Dominant,marble,Weak,stone,granite,rock,material,slab
The child shot too hard. He chipped the marble during the championship game.,Subordinate,marble,Weak,playing marble,toy,game piece,ball,shooter
The farmer saw the entrance. He reported the mine to the survey crew.,Dominant,mine,Weak,excavation,pit,quarry,shaft,tunnel
The scout patrolled the area. He reported the mine to the commanding officer.,Subordinate,mine,Weak,explosive,bomb,booby trap,device,charge
The pilot checked the radar screen. He highlighted the object before reporting the enemy.,Dominant,object,Weak,target,item,entity,subject,thing
The student examined the sentence. He highlighted the object with a yellow marker.,Subordinate,object,Weak,noun,direct object,pronoun,grammatical element,part of speech
The owner fixed the cage. He mounted the perch near the food dish.,Dominant,perch,Weak,roost,stand,bar,pole,rod
The sportsman won the tournament. He mounted the perch in the trophy room.,Subordinate,perch,Weak,pedestal,stand,platform,base,support
The critic was displeased. She suggested the sage to improve the flavor.,Dominant,sage,Weak,herb,seasoning,spice,culinary ingredient,plant
The priestess was uncertain. She suggested the sage would understand the problem.,Subordinate,sage,Weak,wise person,scholar,philosopher,guru,mentor
The grocer completed the transaction. She wiped the scales with a wet rag.,Dominant,scales,Weak,weighing device,balance,measure,instrument,gauge
The taxidermist prepared the specimen. She wiped the scales with a protective oil.,Subordinate,scales,Weak,fish scales,reptile scales,skin,covering,surface
The buyer was critical. He examined the screen before signing the mortgage.,Dominant,screen,Weak,display,monitor,panel,viewing surface,protection
The usher saw the hole. He examined the screen after the patrons left.,Subordinate,screen,Weak,barrier,divider,curtain,partition,covering
The lady found a flaw. She swapped the set for a similar pattern.,Dominant,set,Weak,collection,series,ensemble,group,kit
The viewer wanted more options. She swapped the set for a newer model.,Subordinate,set,Weak,television,TV,receiver,box,monitor
The sponsor sent out fliers. He advertised the speaker to the student body.,Dominant,speaker,Weak,presenter,orator,lecturer,spokesperson,announcer
The widower needed money. He advertised the speaker in the Sunday paper.,Subordinate,speaker,Weak,audio device,sound system,loudspeaker,amplifier,woofer
The buyer distrusted the market. He sold his stock the very next day.,Dominant,stock,Weak,shares,equity,securities,investments,assets
The farmer wanted to retire. He sold his stock at the local auction.,Subordinate,stock,Weak,livestock,animals,cattle,herd,farm animals
The apprentice fixed the transmitter. He tried the switch before returning the radio.,Dominant,switch,Weak,button,lever,toggle,control,actuator
The client handled the diamonds. He tried the switch before paying the clerk.,Subordinate,switch,Weak,exchange,trade,change,swap,substitute
The architect changed the blueprint. She added the terminal to the west concourse.,Dominant,terminal,Weak,station,depot,hub,facility,terminal point
The technician modified the component. She added the terminal to the wiring diagram.,Subordinate,terminal,Weak,connector,plug,interface,port,junction
The serviceman was angry. He considered the tip to be very small.,Dominant,tip,Weak,gratuity,bonus,extra,reward,payment
The man pondered the situation. He considered the tip to be sound advice.,Subordinate,tip,Weak,suggestion,advice,recommendation,hint,clue
The boy walked through the park. He uncovered a trace leading to the gate.,Dominant,trace,Weak,trail,path,sign,mark,footprint
The student examined the fluid. He uncovered a trace of the deadly poison.,Subordinate,trace,Weak,residue,hint,sign,remnant,evidence
The principal overheard the plan. He banned the trade between the two students.,Dominant,trade,Weak,exchange,transaction,barter,deal,swap
The king declared war. He banned the trade with the rival country.,Subordinate,trade,Weak,commerce,import,export,business,trafficking
