sentence,word,string,disambiguating_word,Attention,inserted_string,inserted_string_final_token,Attention_inserted_string,Attention_1back,Entropy,Head,Layer,n_params,mpath,revision,step
It was a magic kind of act.,act,act, magic,0.0004177043156232685,kind of, of,0.270227313041687,0.11884451657533646,2.068312644958496,3,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.5183876752853394,kind of, of,0.012842820957303047,0.2994052469730377,2.06321120262146,0,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,7.430961704812944e-05,kind of, of,0.8153474926948547,0.6959536671638489,2.0300111770629883,1,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.13141824305057526,kind of, of,0.11104892194271088,0.2614371180534363,2.075568675994873,2,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.06995350867509842,kind of, of,0.03643052652478218,0.15460598468780518,2.069410800933838,3,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.04123760387301445,kind of, of,0.040312010794878006,0.18338142335414886,2.068185329437256,0,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.1549653708934784,kind of, of,0.02203669212758541,0.19361574947834015,2.074894428253174,1,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,2.9506421924452297e-05,kind of, of,0.0031597167253494263,0.14774547517299652,2.052497148513794,2,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,6.572913093805255e-07,kind of, of,0.0002534060040488839,0.14932873845100403,2.052325963973999,3,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.054717183113098145,kind of, of,0.06785224378108978,0.197449192404747,2.0693273544311523,0,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.03538227826356888,kind of, of,0.016428757458925247,0.17447887361049652,2.0650181770324707,1,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.09366241097450256,kind of, of,0.3735853433609009,0.29543209075927734,2.073148488998413,2,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.37387701869010925,kind of, of,0.07964036613702774,0.25535354018211365,2.073018789291382,3,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.07382587343454361,kind of, of,0.0048215813003480434,0.15367180109024048,2.0602900981903076,0,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.037140581756830215,kind of, of,0.030510539188981056,0.16190558671951294,2.061209201812744,1,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.1573302447795868,kind of, of,0.13728280365467072,0.26404041051864624,2.0763297080993652,2,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a magic kind of act.,act,act, magic,0.3202418088912964,kind of, of,0.07511255890130997,0.22635866701602936,2.0747809410095215,3,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.021717147901654243,kind of, of,0.20883679389953613,0.20767590403556824,2.1920056343078613,0,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.041243962943553925,kind of, of,0.06337782740592957,0.19836288690567017,2.18654465675354,1,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.013661861419677734,kind of, of,0.4053044319152832,0.1793970763683319,2.180515766143799,2,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.2628239691257477,kind of, of,0.08299916982650757,0.1744762659072876,2.1844236850738525,3,0,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.0031274589709937572,kind of, of,0.16017845273017883,0.42430025339126587,2.160964012145996,0,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.043900590389966965,kind of, of,0.4193147122859955,0.3400781452655792,2.188483238220215,1,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.07717317342758179,kind of, of,0.128005713224411,0.2768908739089966,2.193232536315918,2,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,8.356824400834739e-05,kind of, of,0.24508337676525116,0.09659415483474731,2.1848561763763428,3,1,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.3486698567867279,kind of, of,0.008868176490068436,0.3127968907356262,2.167011260986328,0,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,4.411955887917429e-05,kind of, of,0.8100582361221313,0.7090284824371338,2.1521222591400146,1,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.09060902893543243,kind of, of,0.10141834616661072,0.21636062860488892,2.193708658218384,2,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.045351818203926086,kind of, of,0.03864825889468193,0.14100350439548492,2.1889638900756836,3,2,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.029046332463622093,kind of, of,0.025978028774261475,0.15116271376609802,2.183356285095215,0,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.11082760989665985,kind of, of,0.01828635111451149,0.23880857229232788,2.1925125122070312,1,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.021926164627075195,kind of, of,0.0012915214756503701,0.12822562456130981,2.174488067626953,2,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.023692036047577858,kind of, of,0.00011716296285158023,0.13024133443832397,2.1747615337371826,3,3,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.04959143325686455,kind of, of,0.03422987461090088,0.1784963607788086,2.183617115020752,0,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.03912360221147537,kind of, of,0.013967675156891346,0.15133965015411377,2.1843748092651367,1,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.04862810671329498,kind of, of,0.36509066820144653,0.25303882360458374,2.19130539894104,2,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.14431728422641754,kind of, of,0.08383657783269882,0.24842579662799835,2.195465564727783,3,4,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.05797719955444336,kind of, of,0.0034671002067625523,0.15644851326942444,2.180779218673706,0,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.03917624056339264,kind of, of,0.034744974225759506,0.15930907428264618,2.181649923324585,1,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.0629112496972084,kind of, of,0.08983493596315384,0.21161356568336487,2.191925048828125,2,5,14067712,EleutherAI/pythia-14m,step19000,19000
It was a comedic kind of act.,act,act, comedic,0.258748859167099,kind of, of,0.05239405855536461,0.2358236312866211,2.1925292015075684,3,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.025317762047052383,type of, of,0.21173439919948578,0.2134615033864975,2.073543071746826,0,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.09354276955127716,type of, of,0.011332802474498749,0.25536906719207764,2.074075222015381,1,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.05810661241412163,type of, of,0.5050487518310547,0.19689156115055084,2.064824104309082,2,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.060146234929561615,type of, of,0.03337385877966881,0.2224111109972,2.064736843109131,3,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.02781541459262371,type of, of,0.11233492195606232,0.3573850989341736,2.050401210784912,0,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.09482946991920471,type of, of,0.47394251823425293,0.3253530263900757,2.068291664123535,1,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.07748611271381378,type of, of,0.31194064021110535,0.2043399214744568,2.073247194290161,2,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.001258539967238903,type of, of,0.20212148129940033,0.0918305292725563,2.059816360473633,3,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.24303072690963745,type of, of,0.01346809882670641,0.2662191390991211,2.070512056350708,0,2,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.0001390818360960111,type of, of,0.7435752153396606,0.6833359003067017,2.040196418762207,1,2,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.1356256902217865,type of, of,0.25392356514930725,0.2915513217449188,2.075640916824341,2,2,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.051440853625535965,type of, of,0.04948972538113594,0.17091721296310425,2.070784568786621,3,2,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.027853436768054962,type of, of,0.12321185320615768,0.2412029206752777,2.073798179626465,0,3,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.1601516753435135,type of, of,0.030129972845315933,0.28052693605422974,2.0576090812683105,1,3,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.0003891298547387123,type of, of,0.005760957952588797,0.2776210308074951,2.0275747776031494,2,3,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,2.811172089423053e-05,type of, of,0.0003894286055583507,0.2707655131816864,2.0229485034942627,3,3,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.07028856128454208,type of, of,0.006293144077062607,0.18307730555534363,2.065567970275879,0,4,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.042165737599134445,type of, of,0.04471886157989502,0.23540546000003815,2.0747454166412354,1,4,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.08551928400993347,type of, of,0.09441903978586197,0.2265135943889618,2.0725343227386475,2,4,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.15139371156692505,type of, of,0.09174267947673798,0.23043926060199738,2.0776171684265137,3,4,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.08236831426620483,type of, of,0.005990915931761265,0.15486571192741394,2.065627336502075,0,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.08030112087726593,type of, of,0.03331083431839943,0.19277121126651764,2.0645127296447754,1,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.14964145421981812,type of, of,0.15041588246822357,0.23434841632843018,2.075413942337036,2,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had a universal type of appeal.,appeal,appeal, universal,0.3487344980239868,type of, of,0.026401381939649582,0.26480746269226074,2.069228172302246,3,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.0068785822950303555,type of, of,0.19930395483970642,0.18310828506946564,2.2954673767089844,0,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.02304728329181671,type of, of,0.01207960769534111,0.21063841879367828,2.2962353229522705,1,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.0182977132499218,type of, of,0.513087809085846,0.18443699181079865,2.2885961532592773,2,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.016845962032675743,type of, of,0.033930931240320206,0.20075003802776337,2.2886061668395996,3,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.020829543471336365,type of, of,0.1096496433019638,0.38401567935943604,2.277676820755005,0,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.046981360763311386,type of, of,0.49260616302490234,0.30764442682266235,2.291177272796631,1,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.04228197783231735,type of, of,0.38016244769096375,0.1820511370897293,2.293834686279297,2,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.0016127349808812141,type of, of,0.2613678276538849,0.07830480486154556,2.279049873352051,3,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.07294715940952301,type of, of,0.012607868760824203,0.23759444057941437,2.290376663208008,0,2,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,1.8581809854367748e-05,type of, of,0.7506358623504639,0.7699983716011047,2.267730236053467,1,2,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.0528450533747673,type of, of,0.28508561849594116,0.24715042114257812,2.297384262084961,2,2,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.07148420810699463,type of, of,0.03977939113974571,0.1398913860321045,2.295320510864258,3,2,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.05478692799806595,type of, of,0.13135747611522675,0.20578056573867798,2.298084020614624,0,3,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.10971566289663315,type of, of,0.019529370591044426,0.22274579107761383,2.2903270721435547,1,3,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.25339481234550476,type of, of,0.02463695779442787,0.2288597673177719,2.267096519470215,2,3,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.29386261105537415,type of, of,0.002096711192280054,0.20489369332790375,2.250026226043701,3,3,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.13317245244979858,type of, of,0.014015504159033298,0.18129751086235046,2.297762870788574,0,4,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.03953174874186516,type of, of,0.07437927275896072,0.1917119175195694,2.2920002937316895,1,4,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.09392151236534119,type of, of,0.21483400464057922,0.1891428381204605,2.3003897666931152,2,4,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.12094056606292725,type of, of,0.08318456262350082,0.1815197765827179,2.3016979694366455,3,4,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.16959846019744873,type of, of,0.013946643099188805,0.13936282694339752,2.292654514312744,0,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.05946099013090134,type of, of,0.047295860946178436,0.15712855756282806,2.2870001792907715,1,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.05741531401872635,type of, of,0.1628255397081375,0.2063724547624588,2.2985754013061523,2,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had an undefinable type of appeal.,appeal,appeal, undefinable,0.17629830539226532,type of, of,0.06048477813601494,0.23459215462207794,2.295687437057495,3,5,14067712,EleutherAI/pythia-14m,step19000,19000
He had a legal type of appeal.,appeal,appeal, legal,0.045008063316345215,type of, of,0.20745697617530823,0.16516095399856567,2.0740108489990234,0,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had a legal type of appeal.,appeal,appeal, legal,0.10962068289518356,type of, of,0.011131791397929192,0.21794040501117706,2.0743377208709717,1,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had a legal type of appeal.,appeal,appeal, legal,0.1462928205728531,type of, of,0.45776280760765076,0.18422454595565796,2.068073272705078,2,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had a legal type of appeal.,appeal,appeal, legal,0.2886955440044403,type of, of,0.025258155539631844,0.27615848183631897,2.0699429512023926,3,0,14067712,EleutherAI/pythia-14m,step19000,19000
He had a legal type of appeal.,appeal,appeal, legal,0.015469002537429333,type of, of,0.11796799302101135,0.3796626627445221,2.049924373626709,0,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had a legal type of appeal.,appeal,appeal, legal,0.03755742311477661,type of, of,0.5093706250190735,0.34870949387550354,2.0656871795654297,1,1,14067712,EleutherAI/pythia-14m,step19000,19000
He had a legal type of appeal.,appeal,appeal, legal,0.04663211852312088,type of, of,0.3135080635547638,0.2027588039636612,2.0722298622131348,2,1,14067712,EleutherAI/pythia-14m,step19000,19000
