sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
It was a worthy cause.,cause,cause,It was a cause worthy., worthy cause, cause worthy,worthy,False,-14.797014236450195,-20.350069046020508,5.5530548095703125,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a political cause.,cause,cause,It was a cause political., political cause, cause political,political,False,-15.316473007202148,-19.69774627685547,4.38127326965332,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a main cause.,cause,cause,It was a cause main., main cause, cause main,main,False,-14.038333892822266,-21.500431060791016,7.46209716796875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a skin cell.,cell,cell,It was a cell skin., skin cell, cell skin,skin,True,-17.387069702148438,-20.158111572265625,2.7710418701171875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a brain cell.,cell,cell,It was a cell brain., brain cell, cell brain,brain,True,-14.684969902038574,-19.853179931640625,5.168210029602051,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a prison cell.,cell,cell,It was a cell prison., prison cell, cell prison,prison,True,-15.903441429138184,-19.54549789428711,3.642056465148926,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a devilish charm.,charm,charm,She had a charm devilish., devilish charm, charm devilish,devilish,False,-19.772512435913086,-26.75312042236328,6.980607986450195,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a natural charm.,charm,charm,She had a charm natural., natural charm, charm natural,natural,False,-15.079814910888672,-21.403682708740234,6.3238677978515625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a gold charm.,charm,charm,She had a charm gold., gold charm, charm gold,gold,True,-16.8437557220459,-19.73717498779297,2.8934192657470703,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the juicy chicken.,chicken,chicken,They liked the chicken juicy., juicy chicken, chicken juicy,juicy,False,-16.241498947143555,-19.51879119873047,3.277292251586914,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the roasted chicken.,chicken,chicken,They liked the chicken roasted., roasted chicken, chicken roasted,roasted,False,-13.653698921203613,-16.779800415039062,3.126101493835449,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the clucking chicken.,chicken,chicken,They liked the chicken clucking., clucking chicken, chicken clucking,clucking,True,-22.90325355529785,-22.188461303710938,-0.7147922515869141,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a perceptive class.,class,class,It was a class perceptive., perceptive class, class perceptive,perceptive,False,-21.077701568603516,-25.006155014038086,3.9284534454345703,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a misbehaving class.,class,class,It was a class misbehaving., misbehaving class, class misbehaving,misbehaving,False,-23.814476013183594,-28.713348388671875,4.898872375488281,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a boring class.,class,class,It was a class boring., boring class, class boring,boring,False,-17.68401527404785,-21.940383911132812,4.256368637084961,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a film clip.,clip,clip,It was a clip film., film clip, clip film,film,True,-17.087045669555664,-18.602354049682617,1.5153083801269531,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a video clip.,clip,clip,It was a clip video., video clip, clip video,video,True,-12.886609077453613,-18.942283630371094,6.0556745529174805,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a hair clip.,clip,clip,It was a clip hair., hair clip, clip hair,hair,True,-20.564489364624023,-23.420835494995117,2.8563461303710938,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an icy cold.,cold,cold,It was an cold icy., icy cold, cold icy,icy,False,-12.909647941589355,-20.469297409057617,7.559649467468262,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a freezing cold.,cold,cold,It was a cold freezing., freezing cold, cold freezing,freezing,False,-14.097884178161621,-16.199737548828125,2.101853370666504,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a chest cold.,cold,cold,It was a cold chest., chest cold, cold chest,chest,False,-16.53688621520996,-15.858551979064941,-0.6783342361450195,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a gossip column.,column,column,It was a column gossip., gossip column, column gossip,gossip,True,-18.99984359741211,-24.59290313720703,5.593059539794922,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a sports column.,column,column,It was a column sports., sports column, column sports,sports,True,-20.600494384765625,-23.77268409729004,3.172189712524414,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a concrete column.,column,column,It was a column concrete., concrete column, column concrete,concrete,False,-17.407299041748047,-20.76968765258789,3.3623886108398438,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the investment company.,company,company,He liked the company investment., investment company, company investment,investment,True,-15.08036994934082,-17.079124450683594,1.9987545013427734,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the pharmaceutical company.,company,company,He liked the company pharmaceutical., pharmaceutical company, company pharmaceutical,pharmaceutical,False,-17.428897857666016,-18.439701080322266,1.01080322265625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the pleasant company.,company,company,He liked the company pleasant., pleasant company, company pleasant,pleasant,False,-18.11390495300293,-20.58401870727539,2.470113754272461,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a waffle cone.,cone,cone,It was a cone waffle., waffle cone, cone waffle,waffle,True,-28.159000396728516,-27.096696853637695,-1.0623035430908203,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a sugar cone.,cone,cone,It was a cone sugar., sugar cone, cone sugar,sugar,True,-20.733840942382812,-25.208847045898438,4.475006103515625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an orange cone.,cone,cone,It was an cone orange., orange cone, cone orange,orange,False,-15.240535736083984,-27.366546630859375,12.12601089477539,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He made a charitable contribution.,contribution,contribution,He made a contribution charitable., charitable contribution, contribution charitable,charitable,False,-17.504470825195312,-25.343629837036133,7.83915901184082,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He made a voluntary contribution.,contribution,contribution,He made a contribution voluntary., voluntary contribution, contribution voluntary,voluntary,False,-17.24233055114746,-23.67284393310547,6.430513381958008,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He made a scholarly contribution.,contribution,contribution,He made a contribution scholarly., scholarly contribution, contribution scholarly,scholarly,False,-18.112268447875977,-25.030603408813477,6.9183349609375,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
That was the noble count.,count,count,That was the count noble., noble count, count noble,noble,False,-17.969078063964844,-23.727066040039062,5.757987976074219,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
That was the vengeful count.,count,count,That was the count vengeful., vengeful count, count vengeful,vengeful,False,-22.01687240600586,-30.88861656188965,8.871744155883789,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
That was the final count.,count,count,That was the count final., final count, count final,final,False,-12.633591651916504,-17.775943756103516,5.142352104187012,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an introductory course.,course,course,It was an course introductory., introductory course, course introductory,introductory,False,-10.823532104492188,-24.292537689208984,13.469005584716797,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a pass-fail course.,course,course,It was a course pass-fail., pass-fail course, course pass-fail,pass-fail,False,-27.861698150634766,-29.69011116027832,1.8284130096435547,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a charted course.,course,course,It was a course charted., charted course, course charted,charted,False,-18.5668888092041,-21.048887252807617,2.4819984436035156,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a dinner date.,date,date,It was a date dinner., dinner date, date dinner,dinner,True,-17.054824829101562,-21.976205825805664,4.921380996704102,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a blind date.,date,date,It was a date blind., blind date, date blind,blind,False,-17.635478973388672,-22.24958038330078,4.614101409912109,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an expiration date.,date,date,It was an date expiration., expiration date, date expiration,expiration,True,-12.949974060058594,-25.775924682617188,12.825950622558594,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was about forty degrees.,degree,degrees,It was about degrees forty., forty degrees, degrees forty,forty,True,-17.444040298461914,-22.618019104003906,5.173978805541992,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was about fifty degrees.,degree,degrees,It was about degrees fifty., fifty degrees, degrees fifty,fifty,True,-17.27051544189453,-22.414159774780273,5.143644332885742,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was about associate degrees.,degree,degrees,It was about degrees associate., associate degrees, degrees associate,associate,False,-23.226011276245117,-26.217073440551758,2.9910621643066406,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the floral design.,design,design,They liked the design floral., floral design, design floral,floral,False,-14.768842697143555,-21.329856872558594,6.561014175415039,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the geometric design.,design,design,They liked the design geometric., geometric design, design geometric,geometric,False,-14.362404823303223,-20.68559455871582,6.323189735412598,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the product design.,design,design,They liked the design product., product design, design product,product,True,-14.938301086425781,-15.415081977844238,0.47678089141845703,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the turkey dinner.,dinner,dinner,They liked the dinner turkey., turkey dinner, dinner turkey,turkey,True,-15.844961166381836,-17.154157638549805,1.3091964721679688,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the light dinner.,dinner,dinner,They liked the dinner light., light dinner, dinner light,light,False,-17.72640609741211,-17.18278694152832,-0.5436191558837891,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the formal dinner.,dinner,dinner,They liked the dinner formal., formal dinner, dinner formal,formal,False,-16.522018432617188,-20.285911560058594,3.7638931274414062,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a recurring dream.,dream,dream,He had a dream recurring., recurring dream, dream recurring,recurring,False,-14.277175903320312,-18.250991821289062,3.97381591796875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a bad dream.,dream,dream,He had a dream bad., bad dream, dream bad,bad,False,-10.997868537902832,-14.763047218322754,3.765178680419922,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a childhood dream.,dream,dream,He had a dream childhood., childhood dream, dream childhood,childhood,True,-13.119000434875488,-18.51223373413086,5.393233299255371,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a grueling drill.,drill,drill,It was a drill grueling., grueling drill, drill grueling,grueling,False,-19.653968811035156,-24.35953140258789,4.705562591552734,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a challenging drill.,drill,drill,It was a drill challenging., challenging drill, drill challenging,challenging,False,-18.77812957763672,-24.766422271728516,5.988292694091797,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an electric drill.,drill,drill,It was an drill electric., electric drill, drill electric,electric,False,-15.075748443603516,-25.236162185668945,10.16041374206543,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a multiple-choice examination.,examination,examination,It was an examination multiple-choice., multiple-choice examination, examination multiple-choice,multiple-choice,False,-27.110435485839844,-35.35388946533203,8.243453979492188,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a difficult examination.,examination,examination,It was an examination difficult., difficult examination, examination difficult,difficult,False,-14.956485748291016,-21.735572814941406,6.779087066650391,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a prostate examination.,examination,examination,It was an examination prostate., prostate examination, examination prostate,prostate,True,-22.985158920288086,-27.201749801635742,4.216590881347656,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They had an electric fan.,fan,fan,They had an fan electric., electric fan, fan electric,electric,False,-11.994394302368164,-26.549015045166016,14.554620742797852,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They had a ceiling fan.,fan,fan,They had a fan ceiling., ceiling fan, fan ceiling,ceiling,True,-17.718936920166016,-21.692970275878906,3.9740333557128906,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They had a zealous fan.,fan,fan,They had a fan zealous., zealous fan, fan zealous,zealous,False,-18.363052368164062,-23.391695022583008,5.028642654418945,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a text file.,file,file,She had a file text., text file, file text,text,True,-17.135013580322266,-21.577157974243164,4.442144393920898,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a data file.,file,file,She had a file data., data file, file data,data,True,-17.302967071533203,-21.604549407958984,4.301582336425781,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a nail file.,file,file,She had a file nail., nail file, file nail,nail,True,-19.640987396240234,-24.210458755493164,4.56947135925293,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an action film.,film,film,It was an film action., action film, film action,action,True,-15.903493881225586,-19.802982330322266,3.8994884490966797,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a censored film.,film,film,It was a film censored., censored film, film censored,censored,False,-21.2880802154541,-21.541427612304688,0.25334739685058594,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a transparent film.,film,film,It was a film transparent., transparent film, film transparent,transparent,False,-16.622634887695312,-20.266368865966797,3.6437339782714844,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a charitable foundation.,foundation,foundation,It was a foundation charitable., charitable foundation, foundation charitable,charitable,False,-14.645069122314453,-20.71338653564453,6.068317413330078,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an educational foundation.,foundation,foundation,It was an foundation educational., educational foundation, foundation educational,educational,False,-13.489120483398438,-24.901123046875,11.412002563476562,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a wooden foundation.,foundation,foundation,It was a foundation wooden., wooden foundation, foundation wooden,wooden,False,-16.142845153808594,-22.508682250976562,6.365837097167969,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a mathematical function.,function,function,It was a function mathematical., mathematical function, function mathematical,mathematical,False,-15.599245071411133,-21.484901428222656,5.885656356811523,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a linear function.,function,function,It was a function linear., linear function, function linear,linear,False,-15.852210998535156,-20.75128746032715,4.899076461791992,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a social function.,function,function,It was a function social., social function, function social,social,False,-16.739452362060547,-22.72858428955078,5.989131927490234,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He was on the firm ground.,ground,ground,He was on the ground firm., firm ground, ground firm,firm,False,-16.34881019592285,-15.916361808776855,-0.4324483871459961,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He was on the frozen ground.,ground,ground,He was on the ground frozen., frozen ground, ground frozen,frozen,False,-15.448953628540039,-19.263999938964844,3.8150463104248047,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He was on the camp ground.,ground,ground,He was on the ground camp., camp ground, ground camp,camp,True,-18.441307067871094,-14.314821243286133,-4.126485824584961,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the night guard.,guard,guard,They liked the guard night., night guard, guard night,night,True,-15.31256103515625,-17.74016571044922,2.4276046752929688,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the security guard.,guard,guard,They liked the guard security., security guard, guard security,security,True,-15.561867713928223,-21.754436492919922,6.192568778991699,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the coast guard.,guard,guard,They liked the guard coast., coast guard, guard coast,coast,True,-18.19812774658203,-23.215364456176758,5.017236709594727,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had an assembly guide.,guide,guide,He had an guide assembly., assembly guide, guide assembly,assembly,True,-21.167041778564453,-29.52873992919922,8.361698150634766,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a TV guide.,guide,guide,He had a guide TV., TV guide, guide TV,TV,True,-17.508041381835938,-23.160995483398438,5.6529541015625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a talkative guide.,guide,guide,He had a guide talkative., talkative guide, guide talkative,talkative,False,-25.35848617553711,-26.986482620239258,1.6279964447021484,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a summer home.,home,home,It was a home summer., summer home, home summer,summer,True,-14.868830680847168,-15.92468547821045,1.0558547973632812,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a childhood home.,home,home,It was a home childhood., childhood home, home childhood,childhood,True,-15.847391128540039,-18.18553924560547,2.3381481170654297,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a funeral home.,home,home,It was a home funeral., funeral home, home funeral,funeral,False,-15.197566986083984,-19.27765655517578,4.080089569091797,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They had natural intelligence.,intelligence,intelligence,They had intelligence natural., natural intelligence, intelligence natural,natural,False,-16.557085037231445,-22.30298614501953,5.745901107788086,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They had innate intelligence.,intelligence,intelligence,They had intelligence innate., innate intelligence, intelligence innate,innate,False,-19.31580924987793,-26.367786407470703,7.051977157592773,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They had classified intelligence.,intelligence,intelligence,They had intelligence classified., classified intelligence, intelligence classified,classified,False,-19.554298400878906,-21.432950973510742,1.878652572631836,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a sensitive issue.,issue,issue,It was an issue sensitive., sensitive issue, issue sensitive,sensitive,False,-14.173591613769531,-19.16234588623047,4.9887542724609375,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a political issue.,issue,issue,It was an issue political., political issue, issue political,political,False,-11.883138656616211,-16.227733612060547,4.344594955444336,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a weekly issue.,issue,issue,It was an issue weekly., weekly issue, issue weekly,weekly,False,-16.884380340576172,-17.60283851623535,0.7184581756591797,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a blackberry jam.,jam,jam,It was a jam blackberry., blackberry jam, jam blackberry,blackberry,True,-19.299274444580078,-24.90069580078125,5.601421356201172,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a peach jam.,jam,jam,It was a jam peach., peach jam, jam peach,peach,False,-20.316787719726562,-22.18706512451172,1.8702774047851562,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a traffic jam.,jam,jam,It was a jam traffic., traffic jam, jam traffic,traffic,True,-13.460149765014648,-19.92706298828125,6.466913223266602,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a duplicate key.,key,key,It was a key duplicate., duplicate key, key duplicate,duplicate,False,-18.52871322631836,-19.915103912353516,1.3863906860351562,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a master key.,key,key,It was a key master., master key, key master,master,True,-19.52698516845703,-19.631349563598633,0.10436439514160156,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a delete key.,key,key,It was a key delete., delete key, key delete,delete,False,-21.14081573486328,-20.607505798339844,-0.5333099365234375,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
