sentence,word,string,disambiguating_word,Attention,Entropy,Head,Layer,n_params,mpath,revision,seed_name,seed,step
It was a humane act.,act,act, humane,0.047932639718055725,1.938643455505371,3,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.10554085671901703,1.934554100036621,0,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.07542680203914642,1.9376229047775269,1,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,1.8276740121336843e-08,1.8801116943359375,2,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.046015139669179916,1.9178258180618286,3,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.15132902562618256,1.938584804534912,0,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.0827816054224968,1.9423160552978516,1,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.0640026181936264,1.9404895305633545,2,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.4397282898426056,1.9072191715240479,3,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.005438081454485655,1.9317755699157715,0,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.09805524349212646,1.942511796951294,1,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.0009318051743321121,1.9280246496200562,2,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,6.351348565658554e-05,1.9249821901321411,3,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.1204945519566536,1.9375901222229004,0,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,0.0007314402610063553,1.8703477382659912,1,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,1.9468818918122466e-12,1.9097115993499756,2,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a humane act.,act,act, humane,4.612516965596392e-13,1.888451099395752,3,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.19997286796569824,1.7821623086929321,0,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.0022596667986363173,1.7629145383834839,1,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.11415688693523407,1.7834498882293701,2,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.0664430484175682,1.7866122722625732,3,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.00014689053932670504,1.6922681331634521,0,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.5602470636367798,1.7673404216766357,1,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.47911500930786133,1.7718498706817627,2,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.136607363820076,1.7842191457748413,3,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.16279336810112,1.7772045135498047,0,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.1502266675233841,1.7836095094680786,1,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,1.5946163278712788e-09,1.737128734588623,2,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.0866975411772728,1.746814489364624,3,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.19767460227012634,1.7817065715789795,0,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.2039986401796341,1.7887141704559326,1,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.1558724343776703,1.788313388824463,2,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.8599373698234558,1.7252638339996338,3,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.007098046597093344,1.7773513793945312,0,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.21915163099765778,1.7886000871658325,1,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,3.825439853244461e-05,1.7741024494171143,2,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,1.924509206219227e-06,1.7700313329696655,3,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.1199653372168541,1.7813572883605957,0,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,0.8062715530395508,1.735013484954834,1,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,1.2405106109003583e-10,1.7579435110092163,2,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a magic act.,act,act, magic,1.048219535259784e-14,1.739108681678772,3,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.005059931892901659,1.751629114151001,0,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.0005449497257359326,1.69404137134552,1,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.06745320558547974,1.7846300601959229,2,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.24346937239170074,1.7836326360702515,3,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.013487515971064568,1.697068452835083,0,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.06636631488800049,1.7562133073806763,1,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.3319658935070038,1.7636446952819824,2,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.12638388574123383,1.783048391342163,3,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.04887807369232178,1.7532535791397095,0,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.2762964069843292,1.7864229679107666,1,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,6.752270964582863e-10,1.7159109115600586,2,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.14634589850902557,1.739618182182312,3,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.09928152710199356,1.7698062658309937,0,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.08398514240980148,1.7816160917282104,1,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.1105705127120018,1.7857946157455444,2,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.8197073936462402,1.7334387302398682,3,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.006081831641495228,1.7604353427886963,0,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.10516849905252457,1.7841815948486328,1,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,5.3009494877187535e-05,1.7565900087356567,2,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,1.4872706515234313e-06,1.757864236831665,3,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,0.11080798506736755,1.7806854248046875,0,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,6.425019627442907e-09,1.735327124595642,1,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,7.308477418090445e-14,1.6988780498504639,2,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a universal appeal.,appeal,appeal, universal,2.2690208476765054e-15,1.6915897130966187,3,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.0179107915610075,2.045637369155884,0,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.002217781264334917,1.9985634088516235,1,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.08121562004089355,2.0759968757629395,2,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.20464682579040527,2.0756170749664307,3,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.008167844265699387,2.003171443939209,0,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.021690238267183304,2.0525503158569336,1,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.1265748292207718,2.056009292602539,2,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.052067212760448456,2.0735104084014893,3,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.04030107706785202,2.048759937286377,0,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.10262051224708557,2.076136350631714,1,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,7.633966561115813e-07,2.0406312942504883,2,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.09469985961914062,2.0544023513793945,3,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.061372309923172,2.0655667781829834,0,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.06149039417505264,2.070913314819336,1,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.07624832540750504,2.0741677284240723,2,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.3036233186721802,2.0375545024871826,3,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.00689409114420414,2.053476333618164,0,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.06273707747459412,2.0731823444366455,1,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.00013073130685370415,2.0504140853881836,2,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,5.8638561313273385e-06,2.051490306854248,3,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,0.05445302277803421,2.0739917755126953,0,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,4.715748624928295e-12,2.0540566444396973,1,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,1.7266914860544682e-15,2.0010552406311035,2,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had an undefinable appeal.,appeal,appeal, undefinable,4.724291111443549e-15,1.9944732189178467,3,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.38691583275794983,1.7749220132827759,0,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.015335746109485626,1.697941780090332,1,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.08077210932970047,1.7850596904754639,2,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.4584817886352539,1.7785210609436035,3,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.0029423621017485857,1.6937837600708008,0,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.5592873692512512,1.7688812017440796,1,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.37119123339653015,1.7666032314300537,2,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.20205272734165192,1.7861758470535278,3,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.05419117584824562,1.75138258934021,0,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.19824017584323883,1.7861125469207764,1,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,4.19688512920402e-06,1.7159188985824585,2,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.22663527727127075,1.748146653175354,3,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.04155125841498375,1.7672641277313232,0,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.07262728363275528,1.7788817882537842,1,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.13045638799667358,1.786270260810852,2,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.7876678109169006,1.7393836975097656,3,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.01191505417227745,1.7623515129089355,0,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.1265629082918167,1.7831435203552246,1,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,4.356685167294927e-05,1.7580516338348389,2,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,2.3355248686129926e-06,1.759488582611084,3,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,0.017018234357237816,1.7768948078155518,0,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,1.836770735508253e-07,1.7514989376068115,1,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,2.1514406573176694e-16,1.6978704929351807,2,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
He had a legal appeal.,appeal,appeal, legal,2.8016286401093377e-17,1.6915316581726074,3,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.1140996515750885,1.7862504720687866,0,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.0017897372599691153,1.747460126876831,1,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.06429086625576019,1.7767539024353027,2,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.1969127357006073,1.77817702293396,3,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.05116909742355347,1.7069798707962036,0,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.4871676564216614,1.769227385520935,1,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.40264856815338135,1.7742435932159424,2,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.12900207936763763,1.7842440605163574,3,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.25756603479385376,1.7798335552215576,0,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.14709006249904633,1.7855782508850098,1,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,1.0512962944631e-06,1.7690101861953735,2,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.48998236656188965,1.7678842544555664,3,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.13168936967849731,1.7670767307281494,0,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.10795765370130539,1.7871551513671875,1,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.090682752430439,1.786733865737915,2,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.8949636816978455,1.7176721096038818,3,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.006595779210329056,1.777563214302063,0,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.16043101251125336,1.7881126403808594,1,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,1.826312109187711e-05,1.7687026262283325,2,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,3.6898029520671116e-07,1.7638412714004517,3,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.12123864144086838,1.7859479188919067,0,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,0.06885667890310287,1.7353785037994385,1,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,1.8027797032971193e-09,1.7611753940582275,2,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a tense atmosphere.,atmosphere,atmosphere, tense,1.0618168670706307e-12,1.7264883518218994,3,5,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.21513287723064423,1.7875580787658691,0,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.007818564772605896,1.7482460737228394,1,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.035058844834566116,1.7750635147094727,2,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.03664415702223778,1.769212245941162,3,0,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.09333223104476929,1.7170578241348267,0,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.6073434352874756,1.7632429599761963,1,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.4202604591846466,1.7744371891021729,2,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.21837176382541656,1.78603196144104,3,1,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.13451986014842987,1.7716124057769775,0,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.19004689157009125,1.7865595817565918,1,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,5.018064985051751e-05,1.7653822898864746,2,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.34886443614959717,1.7651476860046387,3,2,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.11983051896095276,1.7682645320892334,0,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.19092774391174316,1.7877850532531738,1,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.13903695344924927,1.7877498865127563,2,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.8455445766448975,1.7283061742782593,3,3,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.007500968407839537,1.7782286405563354,0,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
It was a hostile atmosphere.,atmosphere,atmosphere, hostile,0.26590847969055176,1.788074016571045,1,4,14067712,EleutherAI/pythia-14m,step86000,seed4,4,86000
