"","sentence","word","string","disambiguating_word","mpath","revision","seed_name","seed","step","0_1","1_1","2_1","3_1","0_2","1_2","2_2","3_2","0_3","1_3","2_3","3_3","0_4","1_4","2_4","3_4","0_5","1_5","2_5","3_5","0_6","1_6","2_6","3_6"
"11","It was a rubber band.","band","band","rubber","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00909024570137262,0.436717689037323,0.00016838632291182,0.45148366689682,0.051923144608736,0.104713834822178,0.0001773367403075,0.0821987167000771,0.922231376171112,0.489270210266113,0.219557076692581,0.0264784917235374,1.432743465557e-05,0.0701084733009338,0.00034435023553669,0.194202452898026,0.201691970229149,5.93775650870043e-09,1.38378408731654e-09,1.74791625795478e-06,0.0140958270058036,6.77060006637475e-06,0.949669361114502,1.84277735147567e-15
"12","It was a jazz band.","band","band","jazz","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0347795747220516,0.646750569343567,3.89833039662335e-05,0.888690650463104,0.0551449917256832,0.143087342381477,0.0028375971596688,0.0475940108299255,0.907298982143402,0.581287205219269,0.201771214604378,0.0154436575248837,3.84024633603985e-06,0.0727211311459541,0.00083920441102236,0.0842501521110535,0.901519358158112,3.86289599418888e-07,2.75725877685318e-08,0.00105745170731097,3.80741789740568e-06,2.99730089636796e-07,0.999262034893036,3.11933234797834e-09
"13","There was a police barrier.","barrier","barrier","police","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.095541201531887,0.463722288608551,0.00148827768862247,0.311670213937759,0.180103376507759,0.236350148916245,0.0001622650452191,0.0330627635121346,0.883027374744415,0.53320187330246,0.232598751783371,0.0315550491213799,7.86250786699583e-10,0.0963218212127686,7.56119770812802e-05,0.0808246210217476,0.227313458919525,1.81600660198455e-06,4.02799770427009e-07,1.41812552101328e-06,5.34585975486834e-09,2.69402380581596e-06,0.999998092651367,1.21649250610662e-17
"14","There was a concrete barrier.","barrier","barrier","concrete","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00464518973603844,0.0798697471618652,0.00068100320640951,0.0321336984634399,0.168965443968773,0.0522842071950436,0.00350106251426041,0.0340018533170223,0.920073390007019,0.448747515678406,0.265199184417725,0.0518174879252911,1.22893834486604e-05,0.0824938118457794,0.00018891824583988,0.167952388525009,0.122098058462143,6.70429869842337e-07,2.35839920037506e-07,6.07233096161508e-06,8.55802791193128e-05,0.00283548049628734,0.0127227092161775,8.17508283290636e-09
"15","There was a language barrier.","barrier","barrier","language","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0672443807125092,0.0756024718284607,0.0014401274966076,0.0774529501795769,0.137147605419159,0.0941223576664925,0.00040925882058218,0.0339069031178951,0.906865179538727,0.44604104757309,0.238247588276863,0.0420199632644653,2.78357390470774e-07,0.0460788309574127,7.23963603377342e-05,0.155943468213081,0.0292921401560307,6.72827127345954e-07,1.93488602917569e-07,2.62070034295903e-06,0.00012046209303662,0.00014505958824884,0.7431680560112,1.89826114354273e-13
"16","He saw a furry bat.","bat","bat","furry","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00567439198493957,0.217430531978607,0.00337803410366177,0.122742831707001,0.188331007957458,0.0958243682980537,7.5264964834787e-05,0.0105542624369264,0.485682815313339,0.0911554396152496,0.12636886537075,0.0107436664402485,6.16241224715708e-10,0.0315478593111038,0.00399304321035742,0.145580500364304,0.00069412961602211,4.7047583393578e-06,2.44862491172171e-07,1.69155680396216e-06,6.10871509626465e-12,0.352070093154907,1.23542455274559e-15,4.38772768118767e-11
"17","He saw a fruit bat.","bat","bat","fruit","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00614084396511316,0.235664784908295,0.00067385134752839,0.124740988016129,0.376995265483856,0.180775955319405,0.00084164331201463,0.0474316142499447,0.92332512140274,0.203433573246002,0.190060213208199,0.016442870721221,7.16171877357397e-09,0.0464826859533787,0.00127701903693377,0.159449771046638,0.0198550596833229,1.0927266202998e-06,2.53589806931132e-08,5.40047428998491e-09,3.68750829693454e-06,1.00525476227631e-05,0.731058537960052,1.40184074743331e-13
"18","He saw a wooden bat.","bat","bat","wooden","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0024822533596307,0.306832492351532,0.0027729170396924,0.119142256677151,0.248885244131088,0.180340424180031,0.00031566733377985,0.0254694391041994,0.913152813911438,0.113301195204258,0.252800792455673,0.0420483946800232,5.43225742166698e-10,0.0406522378325462,0.00104679819196462,0.254222631454468,0.0263259373605251,3.6256365092413e-06,5.8348557985255e-08,1.00062758079389e-08,2.14836427403498e-06,1.90707523870515e-05,0.002673004521057,4.78532857783875e-09
"19","He saw the laser beam.","beam","beam","laser","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.388774752616882,0.428053200244904,0.162684500217438,0.121930770576,0.11267913877964,0.119940482079983,0.0225190240889788,0.258400171995163,0.946461856365204,0.360399305820465,0.185522243380547,0.0222494937479496,1.23269401228754e-05,0.0589360147714615,0.00069540599361062,0.154251366853714,0.0574526228010654,0.00010634375212248,1.97409899556078e-05,9.3849484983366e-05,0.330499798059464,1.03189705669138e-08,0.115960717201233,1.76787475734556e-16
"20","He saw the bright beam.","beam","beam","bright","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.126096650958061,0.0896156206727028,0.0384290106594563,0.378402948379517,0.0859567224979401,0.0538848452270031,0.00024601217592135,0.177848622202873,0.929565250873566,0.0845894813537598,0.149319157004356,0.0476966984570026,4.05412401960348e-06,0.0969547480344772,0.00031612752354703,0.399955630302429,0.0135048292577267,1.1777305189753e-05,8.88247143393528e-07,1.60507795499143e-07,6.31387301837094e-05,5.06115475218394e-06,1.46755425589618e-07,6.45552946539579e-20
"21","He saw the wood beam.","beam","beam","wood","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0096902260556817,0.276133626699448,0.0248153563588858,0.00931335985660553,0.162408754229546,0.0931547284126282,0.00123247876763343,0.257021605968475,0.945986092090607,0.452631860971451,0.155290991067886,0.0188259035348892,1.7561250231779e-09,0.0489439219236374,0.00135171471629291,0.194089040160179,0.0278597082942724,4.6023924369365e-05,2.77784965874162e-06,1.38235634494777e-06,0.00045404196134768,1.11101927657842e-09,1.21679562425925e-07,2.52184291114952e-22
"22","She had a toy block.","block","block","toy","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0793800503015518,0.251621395349503,4.5703742216574e-05,0.192159920930862,0.131084620952606,0.0133025329560041,5.71844702790258e-06,0.0857336893677711,0.887694299221039,0.623457431793213,0.212008953094482,0.0524448528885841,1.13559269721009e-06,0.0322279147803783,0.00013850929099135,0.167419746518135,0.0223144926130772,2.55225979239881e-10,3.25436379233768e-11,9.03781142369553e-07,2.68177580836637e-12,6.97866053087637e-05,0.99959009885788,1.72061349526233e-15
"23","She had a wooden block.","block","block","wooden","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0314228311181068,0.35116708278656,0.00095253845211118,0.148119732737541,0.147572338581085,0.0917460024356842,3.40065853379201e-05,0.0414426252245903,0.887800931930542,0.576736032962799,0.263120055198669,0.0616032034158707,9.28946697342781e-09,0.0254635959863663,3.21401385008357e-05,0.220758631825447,0.0498235896229744,7.11359356836416e-12,1.68120427518695e-13,1.79923553833561e-09,2.11755136092506e-07,0.00018612772691994,0.999272763729096,3.47573998323524e-15
"24","She had a mental block.","block","block","mental","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.038494061678648,0.562530398368835,0.00109552207868546,0.445372402667999,0.0748263746500015,0.0712155625224113,6.04042838858732e-07,0.0392170436680317,0.860954105854034,0.410840153694153,0.185849592089653,0.0250452663749456,4.44162168378171e-07,0.0233693104237318,3.88104381272569e-05,0.103248827159405,0.148930862545967,6.35022904486165e-14,1.56663571682482e-15,5.71192856568814e-07,1.56616375403708e-17,1.06284169305582e-05,1.14793103023203e-07,1.46863698792865e-29
"25","He has coagulated blood.","blood","blood","coagulated","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.077867716550827,0.144982069730759,0.0804038569331169,0.180934399366379,0.164611160755157,0.113767139613628,0.00026021333178505,0.0501272790133953,0.32671445608139,0.078124150633812,0.1446283608675,0.0504219643771648,2.59362273880015e-08,0.0387630127370358,0.00112267292570322,0.207457646727562,0.00057585322065278,1.7667288743084e-09,1.67390146188495e-09,3.55277265384757e-08,0.0186703726649284,0.333320200443268,0.0329990163445473,2.53590043115901e-14
"26","He has thin blood.","blood","blood","thin","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0335326157510281,0.392538398504257,0.105300359427929,0.024349519982934,0.164701834321022,0.172745674848557,2.43266072175174e-06,0.230778828263283,0.824057996273041,0.105244852602482,0.189057275652885,0.05671601369977,8.30074398973368e-13,0.0754107236862183,5.66999915463384e-06,0.357658743858337,0.0284081716090441,5.79980074383313e-13,9.23055848336268e-14,5.09054409736365e-10,0.00240386230871081,0.988157331943512,6.19219463260379e-06,1.74090109901937e-15
"27","He has noble blood.","blood","blood","noble","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0245483107864857,0.356209844350815,0.00277895806357264,0.0730329900979996,0.291661858558655,0.0694170296192169,4.29660894951667e-06,0.101089134812355,0.857511043548584,0.2240249812603,0.235995084047318,0.0905036851763725,1.90579108050315e-09,0.07429239153862,1.8592083506519e-05,0.255459904670715,0.0500710308551788,2.42657944519303e-13,2.55323750152341e-14,3.67835172043751e-11,2.72444653642845e-11,0.0855065956711769,9.56779967753452e-12,3.32856552049052e-17
"28","It was the ironing board.","board","board","ironing","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.286154121160507,0.198833853006363,0.00136853335425257,0.0524135380983353,0.0550608448684215,0.13275220990181,0.00285523245111107,0.0174347888678312,0.478076875209808,0.136983558535576,0.12763611972332,0.0173496939241886,0.00029827182879671,0.0369709841907024,0.00045062281424179,0.0868476778268814,0.0115000288933515,6.69193127578183e-07,1.23286113762333e-07,5.32630508587317e-07,0.00745292613282799,0.00023341563064604,0.406703919172287,1.80719848807964e-12
"29","It was the wooden board.","board","board","wooden","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.048988975584507,0.298546373844147,0.00973282195627689,0.401395410299301,0.135292813181877,0.127628475427628,0.00018564326455816,0.0372138544917107,0.919043898582458,0.391144931316376,0.162920102477074,0.0504754893481731,0.00240198941901326,0.0478840954601765,0.00035550136817619,0.239510789513588,0.144503727555275,1.07239463886799e-06,3.74268864788974e-07,5.07310176089959e-07,0.00107903871685266,0.00012906320625916,0.976128578186035,8.45315151210002e-10
"30","It was the executive board.","board","board","executive","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0956965684890747,0.59598696231842,0.00012060040899086,0.423891872167587,0.0712583363056183,0.0349651463329792,0.00288702314719557,0.0460618361830711,0.932463526725769,0.457981437444687,0.135045409202576,0.021332873031497,3.85148414352443e-05,0.0553325079381466,0.00012530274398159,0.105925224721432,0.00020505803695414,5.87605830659754e-09,2.86248608150075e-10,2.20187637012259e-08,0.039565172046423,0.00044594271457754,1,4.47778149513599e-23
"31","He had a best-selling book.","book","book","best-selling","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0658949911594391,0.126738905906677,0.0259582847356796,0.0644298642873764,0.0630028247833252,0.0873188003897667,0.0329175256192684,0.0162290297448635,0.324289292097092,0.192050963640213,0.107772491872311,0.061662495136261,9.39426492152506e-09,0.0311123486608267,0.00017786193348001,0.119156405329704,1.23947247629985e-05,2.16966045130107e-09,2.79931661184563e-10,1.05038919784306e-08,1.49581154573752e-07,0.07900270819664,7.11421676777291e-12,6.01838565962576e-13
"32","He had a popular book.","book","book","popular","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.127445250749588,0.411621868610382,0.0493479333817959,0.111041337251663,0.267907530069351,0.0441526062786579,2.27542795983027e-06,0.0567189231514931,0.853967666625977,0.296527773141861,0.182186007499695,0.0895271822810173,1.60420510209036e-10,0.0562938824295998,0.00011902626283699,0.297568738460541,0.00019239033281337,1.27001351657441e-08,3.45800915679817e-10,1.14781947502252e-07,0.00196181260980665,0.21172858774662,9.45651290606975e-09,1.45508052221827e-12
"33","He had a heavy book.","book","book","heavy","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0049874447286129,0.0601717494428158,0.0132107771933079,0.064996063709259,0.136310800909996,0.00986660085618496,3.99157414676665e-07,0.10994328558445,0.861986696720123,0.114514753222466,0.164479598402977,0.0735510289669037,1.78705028552884e-09,0.0500623844563961,3.58902943844441e-05,0.353836894035339,0.00015553516277577,1.34748642799387e-10,1.61075970270264e-12,7.59825979912421e-09,6.17630519172963e-07,0.127568542957306,1.44931348823249e-13,1.72891200872339e-20
"34","They ate a pancake breakfast.","breakfast","breakfast","pancake","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0281519312411547,0.164118036627769,0.00053899799240753,0.0311124660074711,0.14105811715126,0.0386312231421471,0.0009407665929757,0.140315726399422,0.475245028734207,0.111852034926414,0.130930840969086,0.0231577418744564,1.17711014269162e-08,0.0207312740385532,0.00106723385397344,0.0518554486334324,7.36630754545331e-05,2.51155718444807e-08,1.22804912905394e-08,1.82967507811327e-09,9.17868536731703e-09,0.0030465917661786,0.00494832172989845,1.80005428016558e-15
"35","They ate a nutritious breakfast.","breakfast","breakfast","nutritious","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0386160537600517,0.0643659681081772,0.0106262434273958,0.00900721736252307,0.121034771203995,0.0276741273701191,0.00015217396139632,0.0235262792557478,0.31560754776001,0.0638311356306076,0.127354204654694,0.0302828662097454,1.84471566910815e-08,0.020724119618535,0.0123485354706645,0.026468776166439,3.45653234035126e-07,6.76564104651334e-06,2.043466156465e-05,9.49537515282373e-09,5.72713743096642e-09,0.0515161082148552,4.63942816456009e-12,9.37967062661847e-18
"36","They ate a family breakfast.","breakfast","breakfast","family","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.019968930631876,0.0803562849760056,0.00561670400202274,0.00191109266597777,0.188204944133759,0.036589253693819,1.52447755681351e-05,0.161155134439468,0.866064608097076,0.153202012181282,0.179257437586784,0.0454559251666069,8.3115703208847e-10,0.0538854151964188,0.00262551591731607,0.0385500192642212,3.67628817912191e-05,2.60206470557023e-05,1.31287606564001e-06,1.52934330799326e-06,3.42127481900434e-09,0.00779410218819975,0.00530986161902546,9.13263877184743e-20
"37","It was a red cape.","cape","cape","red","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00404774118214845,0.101332560181618,0.027050543576479,0.04397177323699,0.235502481460571,0.120162680745125,0.00012766044528689,0.05063771083951,0.522256314754486,0.228698328137398,0.212240010499954,0.0292490683495998,2.7036243409384e-05,0.114671021699905,0.0189179144799709,0.345326542854309,0.250114560127258,4.23187657361268e-06,6.4112163045138e-07,1.387202701153e-06,0.00014674456906504,0.313974648714066,6.12680523772724e-05,2.06082332561495e-15
"38","It was a flowing cape.","cape","cape","flowing","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00691446661949157,0.0394924096763134,0.00598991522565484,0.0154870320111513,0.167224079370499,0.0544448047876358,0.00072638230631127,0.00873324368149042,0.504245281219482,0.241588920354843,0.274166941642761,0.0615267157554626,2.03321342269192e-05,0.121153756976128,0.0456365458667278,0.288669377565384,0.488635122776031,1.37058787004207e-05,1.1867203966176e-06,9.8116811386717e-07,0.00028946509701199,0.493186414241791,0.523869872093201,3.99579221266322e-05
"39","It was a rocky cape.","cape","cape","rocky","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00590093247592449,0.324708163738251,0.00764308497309684,0.0373275205492973,0.0928124040365219,0.0834951847791672,6.58113140161731e-06,0.00674821762368083,0.496194422245026,0.32180380821228,0.31230616569519,0.173430740833282,1.80288748197199e-06,0.107034176588058,0.0137904426082969,0.235977590084076,0.518408000469208,1.03370648503187e-05,2.70813842462303e-07,1.76276088836858e-07,0.189635530114174,0.501281023025513,0.99878740310669,0.00029067634022794
"40","It was a beer case.","case","case","beer","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0385735146701336,0.143765479326248,0.00638299435377121,0.00105438427999615,0.367760568857193,0.0399377271533012,2.18363256863086e-05,0.0851033180952072,0.904459953308106,0.183534488081932,0.203189015388489,0.0198323111981153,1.35603472894985e-09,0.0618895664811134,0.00101355148945003,0.0823169127106667,0.478057026863098,9.96938160824357e-06,3.8593222484451e-07,0.10644905269146,1.16426633667288e-06,1.1543264690772e-06,1,6.69256816632213e-10
"41","It was a display case.","case","case","display","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00833450723439455,0.0673912838101387,0.0484639555215836,0.00217840308323502,0.246658354997635,0.053761400282383,0.000156198075274,0.084108904004097,0.915647268295288,0.332495331764221,0.177510946989059,0.0717746689915657,3.34077583374892e-08,0.102194644510746,0.00024595396826043,0.188994243741035,0.00085839867824688,4.53854454462999e-07,1.47722047927346e-08,9.09633236005902e-05,0.00061904656467959,4.2544730405325e-08,1,1.03975120180344e-10
"42","It was a divorce case.","case","case","divorce","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.226238697767258,0.523630678653717,0.00085376919014379,0.0269311685115099,0.130886867642403,0.0249030068516731,6.37307857687119e-06,0.099038653075695,0.923513948917389,0.402911156415939,0.205160558223724,0.0230762790888548,1.95321973706086e-07,0.0541069097816944,0.00141778727993369,0.104430936276913,0.985247135162354,7.419973553624e-05,5.19875857207808e-06,0.00266804383136332,0.00038740251329727,0.00033775356132537,0.999999403953552,0.00132303987629711
"43","It was a worthy cause.","cause","cause","worthy","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00371869257651269,0.347481161355972,0.00101146416272968,0.0469428896903992,0.414720863103867,0.0139018930494785,1.41333184728865e-05,0.147102490067482,0.906526565551758,0.317343473434448,0.174474284052849,0.124197132885456,2.71982162303175e-06,0.178746983408928,3.90308596251998e-05,0.301602572202682,1.03646334537189e-05,8.89834073092288e-09,6.74625216801061e-11,2.99838482931136e-08,1.65822328090925e-10,0.00016154418699443,6.54252113047043e-16,8.01225236060198e-15
"44","It was a political cause.","cause","cause","political","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0168578960001469,0.522062599658966,0.00123085966333746,0.0683617517352104,0.327301114797592,0.0220781248062849,4.81671258967253e-06,0.120041780173779,0.860383093357086,0.615376114845276,0.198176175355911,0.0302665438503027,2.72174958126925e-07,0.0992853119969368,0.00031364179449155,0.0885476619005203,0.222005605697632,2.14001943277253e-06,8.31403781376139e-08,0.00020638706337194,1.57222786222391e-13,4.24665103082589e-07,0.99998927116394,1.62603171084279e-19
"45","It was a main cause.","cause","cause","main","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0002259318716824,0.121554106473923,0.00245257862843573,0.020777989178896,0.465634673833847,0.0645101144909859,8.02065471816604e-07,0.130646392703056,0.871710956096649,0.13812680542469,0.158172816038132,0.0528299771249294,3.54774715560779e-06,0.194038271903992,0.00044899099157191,0.250422328710556,0.00015485589392483,3.24925579775481e-08,3.31579347312427e-10,0.00012721646635327,6.58453236379586e-10,1.2385038417051e-06,8.56675060750822e-12,2.33233403547294e-22
"46","It was a skin cell.","cell","cell","skin","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0369681902229786,0.196528524160385,0.0028453841805458,0.117277972400188,0.42175504565239,0.292484998703003,0.00276156235486269,0.348989933729172,0.941704988479614,0.638272345066071,0.233488857746124,0.0333351716399193,2.27333066504798e-06,0.111038401722908,0.00040820645517669,0.246874094009399,0.590055823326111,3.73237497797163e-07,1.434560292779e-08,0.00026284807245247,8.44676560518565e-06,2.66564620687859e-06,0.00475519942119717,5.50195438965833e-16
"47","It was a brain cell.","cell","cell","brain","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.00562425982207059,0.765481650829315,0.0210514701902866,0.296742260456085,0.391072124242783,0.296297550201416,0.00756805390119552,0.315252929925919,0.938248336315155,0.541054308414459,0.193952396512032,0.0277623254805803,5.46662590750202e-07,0.173145845532417,0.00113870261702686,0.209303632378578,0.179780244827271,2.18347295799504e-08,8.38139613268396e-10,1.41305581564666e-05,3.99201235268265e-06,7.94925711034011e-07,8.53031542646931e-06,2.94334606028526e-23
"48","It was a prison cell.","cell","cell","prison","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0374644845724106,0.144126176834106,0.00152471556793898,0.0280027762055397,0.37739098072052,0.182147592306137,4.05766222684179e-05,0.318560928106308,0.943728506565094,0.49490687251091,0.260092288255692,0.0529549047350883,7.43105658784771e-07,0.157862588763237,0.00086146732792258,0.191534340381622,0.819183468818665,8.70134897468233e-07,7.88534180173883e-08,1.37152419483755e-05,0.00023556654923595,1.8297899373465e-07,0.653126955032349,7.9688852901421e-14
"49","She had a devilish charm.","charm","charm","devilish","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0542012974619865,0.412598997354507,0.00234453077428042,0.228934839367867,0.164005845785141,0.0737060382962227,0.00157080544158816,0.0114530548453331,0.469467222690582,0.292316764593124,0.186538383364677,0.0469947382807732,6.50592573947506e-06,0.0193228740245104,0.00657171569764614,0.0496202446520329,0.0135300308465958,6.20667560724542e-05,2.28654134843964e-05,3.1739236874273e-05,1.11674226452568e-13,0.00052052497630938,4.38872549413105e-11,3.21957435216392e-19
"50","She had a natural charm.","charm","charm","natural","EleutherAI/pythia-14m","step143000","seed1",1,143000,0.0600329264998436,0.644063234329224,0.00526645220816135,0.241133257746696,0.105739817023277,0.0976813733577728,0.00033854335197247,0.252700239419937,0.847884356975555,0.150214567780495,0.168130546808243,0.0646407380700111,1.2421584472122e-07,0.0395522378385067,0.00029403605731204,0.0812334939837456,0.00348958652466535,1.20351533183793e-08,8.05416289217931e-11,3.43194379581746e-08,4.24317482192183e-13,0.00064023025333881,1.41479483045967e-17,3.26515107540535e-15
