sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.04523356800345346,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.04897364800711934,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.2650478437704544,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.1412757774725566,5,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03407460732604828,6,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0,0,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.010148389696824078,1,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.03731729938395134,2,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.03621299341729067,3,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.1342625457346157,4,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.07993898647812359,5,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.03243693441074458,6,3.9,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.0,0,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.017960709021689558,1,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04826658178041909,2,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04687977554304401,3,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.1200217603534679,4,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.05133630080427232,5,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.026877579746412694,6,3.764705882,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,1.0814179662865797e-08,0,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.010831043934251716,1,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.018891975868791877,2,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.01578048603062321,3,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.07938839786534257,4,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.026288448666046627,5,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.010335908003204941,6,1.571428571,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,1.0814179662865797e-08,0,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.004905299338041735,1,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.019835476513140216,2,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0161689221069663,3,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.16610662026498013,4,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.047406008470953,5,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.012525756467835936,6,1.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,1.0814179662865797e-08,0,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.026758934059867734,1,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.03873963663412405,2,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04439111265282292,3,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.18041476407939638,4,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04283097409818781,5,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.012515784784643658,6,1.235294118,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,1.0814179662865797e-08,0,0.714285714,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.013189800816965414,1,0.714285714,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.02641431824630225,2,0.714285714,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.033787255724217924,3,0.714285714,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.17785364992388553,4,0.714285714,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.046807112636104375,5,0.714285714,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.012850438152517407,6,0.714285714,8,6,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,1.0814179662865797e-08,0,3.7,6,8,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.01566386476021786,1,3.7,6,8,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.029392346511337708,2,3.7,6,8,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.038556356292979155,3,3.7,6,8,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.1267344551550822,4,3.7,6,8,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.04341706717296967,5,3.7,6,8,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.019493656669508863,6,3.7,6,8,2,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,1.0814179662865797e-08,0,3.272727273,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.008839641616285587,1,3.272727273,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.026673296498195498,2,3.272727273,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.02332424706473679,3,3.272727273,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.1984518010726506,4,3.272727273,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.04786659976616281,5,3.272727273,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.006793437876301711,6,3.272727273,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.0,0,1.214285714,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.03837271190048219,1,1.214285714,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.08234477214132041,2,1.214285714,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.07471314886666713,3,1.214285714,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.20408339389950925,4,1.214285714,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.08731131214592036,5,1.214285714,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.05455335784914461,6,1.214285714,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.0,0,1.846153846,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.035515897241605865,1,1.846153846,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.07155763097445955,2,1.846153846,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.050747108798227414,3,1.846153846,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.14898806251282448,4,1.846153846,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.05007371244484704,5,1.846153846,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.027557030981158137,6,1.846153846,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.0,0,1.538461538,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.0388303762443345,1,1.538461538,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.0821655421460431,2,1.538461538,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.07402547506831147,3,1.538461538,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.15508514621702352,4,1.538461538,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.06703380836978179,5,1.538461538,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.05517007707271504,6,1.538461538,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.0,0,2.181818182,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.03241858869880743,1,2.181818182,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.0832010712456287,2,2.181818182,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.06055333262499041,3,2.181818182,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.1297578535700995,4,2.181818182,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.05175660826233408,5,2.181818182,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Different Sense,0.03107505542474076,6,2.181818182,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,Same Sense,0.0,0,4.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,Same Sense,0.00748650512211535,1,4.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,Same Sense,0.02813466489968408,2,4.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,Same Sense,0.0236265187056518,3,4.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,Same Sense,0.18031658346684964,4,4.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,Same Sense,0.06410185378018285,5,4.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,Same Sense,0.019669924856126286,6,4.0,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Same Sense,0.0,0,3.466666667,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Same Sense,0.02550214854353594,1,3.466666667,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Same Sense,0.08296812118412755,2,3.466666667,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Same Sense,0.05220469186619958,3,3.466666667,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Same Sense,0.07656041679421433,4,3.466666667,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Same Sense,0.048350302374984944,5,3.466666667,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,Same Sense,0.045441826703351174,6,3.466666667,6,7,1,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a jazz band.,band,band,Different Sense,0.0,0,0.2,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a jazz band.,band,band,Different Sense,0.044885483963968076,1,0.2,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a jazz band.,band,band,Different Sense,0.06857217477972566,2,0.2,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a jazz band.,band,band,Different Sense,0.07459829939034135,3,0.2,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a jazz band.,band,band,Different Sense,0.14469702630190284,4,0.2,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a jazz band.,band,band,Different Sense,0.06251347638032378,5,0.2,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a jazz band.,band,band,Different Sense,0.044358162389196876,6,0.2,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a country band.,band,band,Different Sense,0.0,0,0.384615385,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a country band.,band,band,Different Sense,0.031823413742291806,1,0.384615385,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a country band.,band,band,Different Sense,0.05941280072554456,2,0.384615385,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a country band.,band,band,Different Sense,0.06430307255085133,3,0.384615385,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a country band.,band,band,Different Sense,0.19560686496311752,4,0.384615385,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a country band.,band,band,Different Sense,0.06310076659278252,5,0.384615385,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a country band.,band,band,Different Sense,0.01843568542664087,6,0.384615385,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a jazz band.,band,band,Different Sense,0.0,0,0.333333333,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a jazz band.,band,band,Different Sense,0.039079854844276896,1,0.333333333,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a jazz band.,band,band,Different Sense,0.07192432522890724,2,0.333333333,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a jazz band.,band,band,Different Sense,0.10309235780634884,3,0.333333333,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a jazz band.,band,band,Different Sense,0.11348376022374074,4,0.333333333,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a jazz band.,band,band,Different Sense,0.0514895484514063,5,0.333333333,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a jazz band.,band,band,Different Sense,0.045492256570211276,6,0.333333333,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a country band.,band,band,Different Sense,0.0,0,0.1,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a country band.,band,band,Different Sense,0.0333113288853607,1,0.1,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a country band.,band,band,Different Sense,0.06401711879024041,2,0.1,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a country band.,band,band,Different Sense,0.07383171430046354,3,0.1,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a country band.,band,band,Different Sense,0.2537222810110974,4,0.1,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a country band.,band,band,Different Sense,0.09338452411791398,5,0.1,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a rubber band.,It was a country band.,band,band,Different Sense,0.03071081027956224,6,0.1,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a rubber band.,band,band,Same Sense,0.0,0,2.526315789,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a rubber band.,band,band,Same Sense,0.017633081693576025,1,2.526315789,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a rubber band.,band,band,Same Sense,0.05909600060664988,2,2.526315789,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a rubber band.,band,band,Same Sense,0.06427014051087587,3,2.526315789,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a rubber band.,band,band,Same Sense,0.1630655982099084,4,2.526315789,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
It was a gold band.,It was a rubber band.,band,band,Same Sense,0.058333943333510385,5,2.526315789,6,6,0,14067712,EleutherAI/pythia-14m,step61000,seed4,4,61000
